id,title,url,icon,tag
101,Try Guided Breathing,https://www.youtube.com/results?search_query=Try+Guided+Breathing,🧘,stress
102,Use Sleep Cycle,https://sleepcycle.com/,😴,sleep  # App site preserved :cite[2]:cite[5]:cite[9]
103,Take a Walk in Nature,https://www.youtube.com/results?search_query=Take+a+Walk+in+Nature,🚶,mental
104,Listen to Lofi,https://www.youtube.com/results?search_query=Listen+to+Lofi,🎧,focus
105,Do a 5-min Stretch,https://www.youtube.com/results?search_query=Do+a+5-min+Stretch,🧍,activity
106,Box Breathing for Anxiety,https://www.youtube.com/results?search_query=Box+Breathing+for+Anxiety,🫁,stress  # Also covered in :cite[4]
107,Progressive Muscle Relaxation,https://www.youtube.com/results?search_query=Progressive+Muscle+Relaxation,💪,stress
108,Try Yoga Nidra,https://www.youtube.com/results?search_query=Try+Yoga+Nidra,🛏️,sleep
109,Digital Detox Routine,https://www.youtube.com/results?search_query=Digital+Detox+Routine,📵,screen
110,Create a Sleep Sanctuary,https://www.youtube.com/results?search_query=Create+a+Sleep+Sanctuary,🛌,sleep  # Techniques in :cite[3]:cite[7]:cite[10]

111,Focus With Pomodoro,https://www.youtube.com/results?search_query=Focus+With+Pomodoro,⏲️,study
112,Use Forest App,https://www.forestapp.cc,🌳,focus
113,Try Cold Showers,https://www.youtube.com/results?search_query=Try+Cold+Showers,❄️,mood
114,Try Journaling for 5 Min,https://www.youtube.com/results?search_query=Try+Journaling+for+5+Min,📓,mental
115,Do a Body Scan Meditation,https://www.youtube.com/results?search_query=Do+a+Body+Scan+Meditation,🧘,stress
116,Try Blue Light Filters,https://www.youtube.com/results?search_query=Try+Blue+Light+Filters,🌓,screen
117,Stretch Before Bed,https://www.youtube.com/results?search_query=Stretch+Before+Bed,🧍‍♀️,sleep
118,Gratitude Journaling,https://www.youtube.com/results?search_query=Gratitude+Journaling,💗,mood
119,Try Caffeine Curfew,https://www.youtube.com/results?search_query=Try+Caffeine+Curfew,☕,sleep
120,Create a Study Routine,https://www.youtube.com/results?search_query=Create+a+Study+Routine,📚,study

121,Try Walking Meetings,https://www.youtube.com/results?search_query=Try+Walking+Meetings,🚶‍♂️,activity
122,Boost Natural Light Exposure,https://www.youtube.com/results?search_query=Boost+Natural+Light+Exposure,🌞,sleep
123,Try Focus Music,https://www.youtube.com/results?search_query=Try+Focus+Music,🎶,focus
124,Visualize Your Day,https://www.youtube.com/results?search_query=Visualize+Your+Day,🧠,mental
125,Power Nap Tutorial,https://www.youtube.com/results?search_query=Power+Nap+Tutorial,💤,sleep
126,Try Scented Candles,https://www.youtube.com/results?search_query=Try+Scented+Candles,🕯️,mood
127,Low-Impact Cardio at Home,https://www.youtube.com/results?search_query=Low-Impact+Cardio+at+Home,❤️,activity
128,Quick HIIT at Desk,https://www.youtube.com/results?search_query=Quick+HIIT+at+Desk,🏃,activity
129,Practice Mindful Eating,https://www.youtube.com/results?search_query=Practice+Mindful+Eating,🍽️,lifestyle
130,Try Sleep Tracking,https://www.youtube.com/results?search_query=Try+Sleep+Tracking,📈,sleep

131,Limit Screen Time,https://www.youtube.com/results?search_query=Limit+Screen+Time,📵,screen
132,Declutter Your Room,https://www.youtube.com/results?search_query=Declutter+Your+Room,🧹,mental
133,Track Your Mood Daily,https://www.youtube.com/results?search_query=Track+Your+Mood+Daily,📊,mood
134,Read Before Bed,https://www.youtube.com/results?search_query=Read+Before+Bed,📖,sleep
135,5-Min Breathwork,https://www.youtube.com/results?search_query=5-Min+Breathwork,🌬️,stress
136,Get Morning Sunlight,https://www.youtube.com/results?search_query=Get+Morning+Sunlight,🌅,mood
137,Digital Minimalism Tips,https://www.youtube.com/results?search_query=Digital+Minimalism+Tips,🖥️,screen
138,Start a Night Routine,https://www.youtube.com/results?search_query=Start+a+Night+Routine,🌙,sleep
139,Try Guided Visualization,https://www.youtube.com/results?search_query=Try+Guided+Visualization,🌀,mental
140,Desk Stretching Routine,https://www.youtube.com/results?search_query=Desk+Stretching+Routine,🙆,activity

141,Hydration Reminder,https://www.youtube.com/results?search_query=Hydration+Reminder,💧,lifestyle
142,Minimalist Study Desk Setup,https://www.youtube.com/results?search_query=Minimalist+Study+Desk+Setup,🧾,focus
143,Track Your Habits,https://www.youtube.com/results?search_query=Track+Your+Habits,✅,routine
144,Practice Diaphragmatic Breathing,https://www.youtube.com/results?search_query=Practice+Diaphragmatic+Breathing,😮‍💨,stress
145,Set Screen Boundaries,https://www.youtube.com/results?search_query=Set+Screen+Boundaries,📱,screen
146,Try Intermittent Silence,https://www.youtube.com/results?search_query=Try+Intermittent+Silence,🔕,mental
147,Use Focusmate App,https://focusmate.com,👥,study
148,Reduce Decision Fatigue,https://www.youtube.com/results?search_query=Reduce+Decision+Fatigue,🧠,mental
149,Set a Bedtime Alarm,https://www.youtube.com/results?search_query=Set+a+Bedtime+Alarm,⏰,sleep
150,Stretch While Studying,https://www.youtube.com/results?search_query=Stretch+While+Studying,🧘,activity

151,Do 4-7-8 Breathing,https://www.youtube.com/results?search_query=Do+4-7-8+Breathing,🫁,stress
152,Try Yoga for Sleep,https://www.youtube.com/results?search_query=Try+Yoga+for+Sleep,🧘‍♀️,sleep
153,Journal for 5 Minutes,https://www.youtube.com/results?search_query=Journal+for+5+Minutes,📓,mental
154,Watch Calm Forest Video,https://www.youtube.com/results?search_query=Watch+Calm+Forest+Video,🌲,focus
155,Try ASMR Relaxation,https://www.youtube.com/results?search_query=Try+ASMR+Relaxation,🛏️,stress
156,Sun Salutation Yoga,https://www.youtube.com/results?search_query=Sun+Salutation+Yoga,🌞,activity
157,Do a Digital Detox,https://www.youtube.com/results?search_query=Do+a+Digital+Detox,📵,screen
158,Watch Ocean Sounds,https://www.youtube.com/results?search_query=Watch+Ocean+Sounds,🌊,sleep
159,Practice Gratitude,https://www.youtube.com/results?search_query=Practice+Gratitude,🙏,mental
160,5-Min Deep Focus Music,https://www.youtube.com/results?search_query=5-Min+Deep+Focus+Music,🎵,focus

161,Evening Walk Routine,https://www.youtube.com/results?search_query=Evening+Walk+Routine,🚶‍♂️,activity
162,Guided Visualization,https://www.youtube.com/results?search_query=Guided+Visualization,🧠,mental
163,Try Tapping Meditation,https://www.youtube.com/results?search_query=Try+Tapping+Meditation,👋,stress
164,Chair Yoga Break,https://www.youtube.com/results?search_query=Chair+Yoga+Break,🪑,activity
165,Calm Piano Music,https://www.youtube.com/results?search_query=Calm+Piano+Music,🎹,focus
166,Morning Affirmations,https://www.youtube.com/results?search_query=Morning+Affirmations,🌅,mental
167,Box Breathing Technique,https://www.youtube.com/results?search_query=Box+Breathing+Technique,📦,stress
168,Quick Body Scan,https://www.youtube.com/results?search_query=Quick+Body+Scan,🧘,mental
169,Stretch for Back Pain,https://www.youtube.com/results?search_query=Stretch+for+Back+Pain,💆,activity
170,Listen to Nature Sounds,https://www.youtube.com/results?search_query=Listen+to+Nature+Sounds,🌧️,focus

171,Meditate with Calm App,https://www.youtube.com/results?search_query=Meditate+with+Calm+App,📱,stress
172,Short HIIT for Students,https://www.youtube.com/results?search_query=Short+HIIT+for+Students,🏋️,activity
173,5-Min Neck Stretch,https://www.youtube.com/results?search_query=5-Min+Neck+Stretch,🙆,activity
174,Power Nap Strategy,https://www.youtube.com/results?search_query=Power+Nap+Strategy,😴,sleep
175,Body Relax Scan,https://www.youtube.com/results?search_query=Body+Relax+Scan,🧘‍♂️,mental
176,Stretch with Music,https://www.youtube.com/results?search_query=Stretch+with+Music,🎶,activity
177,Try Headspace Meditation,https://www.youtube.com/results?search_query=Try+Headspace+Meditation,🧘‍♀️,mental
178,5-Min Laughter Break,https://www.youtube.com/results?search_query=5-Min+Laughter+Break,😂,mental
179,Evening Relax Routine,https://www.youtube.com/results?search_query=Evening+Relax+Routine,🌙,sleep
180,Mindful Coloring Session,https://www.youtube.com/results?search_query=Mindful+Coloring+Session,🎨,focus

181,Low Light Reading,https://www.youtube.com/results?search_query=Low+Light+Reading,📚,sleep
182,Bedtime Story Audio,https://www.youtube.com/results?search_query=Bedtime+Story+Audio,📖,sleep
183,Sunlight Morning Trick,https://www.youtube.com/results?search_query=Sunlight+Morning+Trick,🌞,mood
184,Hydration Reminder,https://www.youtube.com/results?search_query=Hydration+Reminder,💧,focus
185,Midday Mind Reset,https://www.youtube.com/results?search_query=Midday+Mind+Reset,🕑,mental
186,Focus Timer Hack,https://www.youtube.com/results?search_query=Focus+Timer+Hack,⏲️,focus
187,Sky Gazing Mini Pause,https://www.youtube.com/results?search_query=Sky+Gazing+Mini+Pause,☁️,mental
188,Progressive Relaxation,https://www.youtube.com/results?search_query=Progressive+Relaxation,💤,stress
189,Wind Down Stretch,https://www.youtube.com/results?search_query=Wind+Down+Stretch,🧘,activity
190,30s Eye Care Break,https://www.youtube.com/results?search_query=30s+Eye+Care+Break,👀,screen

191,Legs-Up-The-Wall Pose,https://www.youtube.com/results?search_query=Legs-Up-The-Wall+Pose,🦵,relax
192,Music + Focus Trick,https://www.youtube.com/results?search_query=Music+%2B+Focus+Trick,🎵,focus
193,Noon Walk Vlog,https://www.youtube.com/results?search_query=Noon+Walk+Vlog,🚶‍♀️,activity
194,Positive Vibes Loop,https://www.youtube.com/results?search_query=Positive+Vibes+Loop,💫,mental
195,Guided Body Reset,https://www.youtube.com/results?search_query=Guided+Body+Reset,🛌,mental
196,No Screen 1 Hour Rule,https://www.youtube.com/results?search_query=No+Screen+1+Hour+Rule,📵,screen
197,Breathe Along Visual,https://www.youtube.com/results?search_query=Breathe+Along+Visual,📺,stress
198,Listen to White Noise,https://www.youtube.com/results?search_query=Listen+to+White+Noise,🎧,sleep
199,Walk While Listening,https://www.youtube.com/results?search_query=Walk+While+Listening,🎧,activity
200,Try Creative Journaling,https://www.youtube.com/results?search_query=Try+Creative+Journaling,📝,mental
